Cereal,Contents,Value
Maize,Energy (cal),1
Wheat,Energy (cal),0.991712707
Rice,Energy (cal),0.994475138
Maize,Carbohydrates (g),0.944233207
Wheat,Carbohydrates (g),0.939163498
Rice,Carbohydrates (g),1
Maize,Water (g),0.923076923
Wheat,Water (g),0.923076923
Rice,Water (g),1
Maize,Protein (g),0.75
Wheat,Protein (g),1
Rice,Protein (g),0.566666667
Maize,Fat (g),1
Wheat,Fat (g),0.382352941
Rice,Fat (g),0.205882353
Maize,Ash (g),1
Wheat,Ash (g),0.590909091
Rice,Ash (g),0.545454545
Maize,Starch fiber (g),1
Wheat,Starch fiber (g),0.590909091
Rice,Starch fiber (g),0.545454545
Maize,Phosphorous (mg),0.931937173
Wheat,Phosphorous (mg),1
Rice,Phosphorous (mg),0.732984293
Maize,Calcium (mg),0.25
Wheat,Calcium (mg),1
Rice,Calcium (mg),0.25
Maize,Niacin (mg),0.95
Wheat,Niacin (mg),1
Rice,Niacin (mg),0.75
Maize,Iron (mg),1
Wheat,Iron (mg),0.722222222
Rice,Iron (mg),0.444444444
Maize,Thiamine (mg),1
Wheat,Thiamine (mg),0.866666667
Rice,Thiamine (mg),0.4
Maize,Riboflafin (mg),1
Wheat,Riboflafin (mg),0.875
Rice,Riboflafin (mg),0.375
