Date,Commodity,Index
4/1/2020,Meat,96.9
5/1/2020,Meat,95.4
6/1/2020,Meat,94.8
7/1/2020,Meat,92.2
8/1/2020,Meat,92.2
9/1/2020,Meat,91.5
10/1/2020,Meat,91.8
11/1/2020,Meat,93.3
12/1/2020,Meat,94.8
1/1/2021,Meat,96
2/1/2021,Meat,97.8
3/1/2021,Meat,100.8
4/1/2021,Meat,104.3
5/1/2021,Meat,107.4
6/1/2021,Meat,110.7
7/1/2021,Meat,114.1
8/1/2021,Meat,113.4
9/1/2021,Meat,112.7
10/1/2021,Meat,112
11/1/2021,Meat,112.5
12/1/2021,Meat,111
1/1/2022,Meat,112.1
2/1/2022,Meat,114.4
3/1/2022,Meat,120
4/1/2020,Dairy,95.8
5/1/2020,Dairy,94.4
6/1/2020,Dairy,98.3
7/1/2020,Dairy,101.8
8/1/2020,Dairy,102.1
9/1/2020,Dairy,102.3
10/1/2020,Dairy,104.5
11/1/2020,Dairy,105.4
12/1/2020,Dairy,109.2
1/1/2021,Dairy,111.2
2/1/2021,Dairy,113.1
3/1/2021,Dairy,117.5
4/1/2021,Dairy,119.1
5/1/2021,Dairy,121.1
6/1/2021,Dairy,119.9
7/1/2021,Dairy,116.7
8/1/2021,Dairy,116.2
9/1/2021,Dairy,118.1
10/1/2021,Dairy,121.5
11/1/2021,Dairy,126
12/1/2021,Dairy,129
1/1/2022,Dairy,132.6
2/1/2022,Dairy,141.5
3/1/2022,Dairy,145.2
4/1/2020,Cereals,99.6
5/1/2020,Cereals,98
6/1/2020,Cereals,97.3
7/1/2020,Cereals,97.3
8/1/2020,Cereals,99.2
9/1/2020,Cereals,104.3
10/1/2020,Cereals,112.1
11/1/2020,Cereals,114.8
12/1/2020,Cereals,116.4
1/1/2021,Cereals,125
2/1/2021,Cereals,126.1
3/1/2021,Cereals,123.9
4/1/2021,Cereals,126.2
5/1/2021,Cereals,133.7
6/1/2021,Cereals,130.3
7/1/2021,Cereals,126.3
8/1/2021,Cereals,130.4
9/1/2021,Cereals,132.8
10/1/2021,Cereals,137.1
11/1/2021,Cereals,141.4
12/1/2021,Cereals,140.5
1/1/2022,Cereals,140.6
2/1/2022,Cereals,145.3
3/1/2022,Cereals,170.1
4/1/2020,Oils,81.18
5/1/2020,Oils,77.77
6/1/2020,Oils,86.61
7/1/2020,Oils,93.2
8/1/2020,Oils,98.7
9/1/2020,Oils,104.6
10/1/2020,Oils,106.45
11/1/2020,Oils,121.9
12/1/2020,Oils,131.2
1/1/2021,Oils,138.87
2/1/2021,Oils,147.46
3/1/2021,Oils,159.3
4/1/2021,Oils,162.19
5/1/2021,Oils,174.88
6/1/2021,Oils,157.68
7/1/2021,Oils,155.5
8/1/2021,Oils,165.86
9/1/2021,Oils,168.57
10/1/2021,Oils,184.84
11/1/2021,Oils,184.56
12/1/2021,Oils,178.51
1/1/2022,Oils,185.93
2/1/2022,Oils,201.72
3/1/2022,Oils,248.6
4/1/2020,Sugar,63.2
5/1/2020,Sugar,67.8
6/1/2020,Sugar,74.9
7/1/2020,Sugar,76
8/1/2020,Sugar,81.1
9/1/2020,Sugar,79
10/1/2020,Sugar,84.7
11/1/2020,Sugar,87.5
12/1/2020,Sugar,87.1
1/1/2021,Sugar,94.2
2/1/2021,Sugar,100.2
3/1/2021,Sugar,96.2
4/1/2021,Sugar,100
5/1/2021,Sugar,106.8
6/1/2021,Sugar,107.7
7/1/2021,Sugar,109.6
8/1/2021,Sugar,120.5
9/1/2021,Sugar,121.2
10/1/2021,Sugar,119.1
11/1/2021,Sugar,120.2
12/1/2021,Sugar,116.4
1/1/2022,Sugar,112.7
2/1/2022,Sugar,110.5
3/1/2022,Sugar,117.9
