Exporters,Importers,Value
Argentina,Africa (2),1830773
Argentina,Algeria,1524830
Argentina,Americas (4),2189177
Argentina,Asia (1),1444400
Argentina,Bangladesh,583085
Argentina,Brazil,11205460
Argentina,Indonesia,2919922
Argentina,Netherlands,9746
Argentina,Nigeria,553949
Australia,Africa (2),57660
Australia,Americas (4),1167
Australia,Asia (1),11133052
Australia,Bangladesh,91540
Australia,Egypt,244816
Australia,Europe (3),9380
Australia,Indonesia,3059721
Australia,Italy,163871
Australia,Japan,1825556
Australia,Nigeria,265040
Australia,Oceania,1815856
Australia,Philippines,3276974
Canada,Africa (2),4268047
Canada,Algeria,1945690
Canada,Americas (4),13553552
Canada,Asia (1),7581392
Canada,Bangladesh,2157619
Canada,Brazil,300481
Canada,Egypt,109613
Canada,Europe (3),912544
Canada,Indonesia,4441691
Canada,Italy,1477138
Canada,Japan,3538563
Canada,Mexico,1805813
Canada,Netherlands,69349
Canada,Nigeria,1679420
Canada,Oceania,557736
Canada,Philippines,219773
Canada,Spain,272842
Canada,Turkey,788091
France,Africa (2),6495541
France,Algeria,9834234
France,Americas (4),799574
France,Asia (1),1691010
France,Brazil,17827
France,Egypt,751330
France,Europe (3),8781410
France,Italy,3026867
France,Japan,12991
France,Mexico,0
France,Netherlands,4541018
France,Nigeria,9060
France,Oceania,31461
France,Spain,2864955
France,Turkey,40034
Other,Africa (2),8379440
Other,Algeria,928142
Other,Americas (4),1082669
Other,Asia (1),22841431
Other,Bangladesh,567141
Other,Brazil,882980
Other,Egypt,2848150
Other,Europe (3),24887578
Other,Indonesia,1019624
Other,Italy,8111738
Other,Japan,38467
Other,Mexico,2
Other,Netherlands,4514722
Other,Nigeria,941294
Other,Oceania,16835
Other,Philippines,971701
Other,Spain,5832870
Other,Turkey,2141686
Russia,Africa (2),14319834
Russia,Algeria,31230
Russia,Americas (4),964776
Russia,Asia (1),16227496
Russia,Bangladesh,4444701
Russia,Brazil,117963
Russia,Egypt,15706748
Russia,Europe (3),4340354
Russia,Indonesia,1786915
Russia,Italy,229393
Russia,Japan,93883
Russia,Mexico,1094638
Russia,Netherlands,102873
Russia,Nigeria,2870151
Russia,Philippines,1318001
Russia,Spain,180408
Russia,Turkey,12009440
Ukraine,Africa (2),7025057
Ukraine,Algeria,23611
Ukraine,Americas (4),32784
Ukraine,Asia (1),6356618
Ukraine,Bangladesh,914599
Ukraine,Egypt,3163831
Ukraine,Europe (3),290679
Ukraine,Indonesia,5281629
Ukraine,Italy,494579
Ukraine,Japan,69063
Ukraine,Mexico,434224
Ukraine,Netherlands,347785
Ukraine,Nigeria,89432
Ukraine,Oceania,252
Ukraine,Philippines,2973045
Ukraine,Spain,1431047
Ukraine,Turkey,1346361
USA,Africa (2),1816281
USA,Algeria,910232
USA,Americas (4),8323274
USA,Asia (1),11961975
USA,Bangladesh,675724
USA,Brazil,682889
USA,Egypt,948590
USA,Europe (3),311504
USA,Indonesia,2044554
USA,Italy,1285931
USA,Japan,5447559
USA,Mexico,6368554
USA,Netherlands,10
USA,Nigeria,3062320
USA,Oceania,133
USA,Philippines,5571143
USA,Spain,156749
