Area,Element,Year,Value
Africa,Import Quantity,2019,47621
Africa,Production,2019,26583
Eastern Africa,Import Quantity,2019,7082
Eastern Africa,Production,2019,6042
Middle Africa,Import Quantity,2019,2758
Middle Africa,Production,2019,16
Northern Africa,Import Quantity,2019,25963
Northern Africa,Production,2019,18842
Southern Africa,Import Quantity,2019,2417
Southern Africa,Production,2019,1602
Western Africa,Import Quantity,2019,9402
Western Africa,Production,2019,82
Africa,Import Quantity,2018,48941
Africa,Production,2018,29158
Eastern Africa,Import Quantity,2018,6258
Eastern Africa,Production,2018,5471
Middle Africa,Import Quantity,2018,2851
Middle Africa,Production,2018,16
Northern Africa,Import Quantity,2018,27814
Northern Africa,Production,2018,21628
Southern Africa,Import Quantity,2018,2480
Southern Africa,Production,2018,1941
Western Africa,Import Quantity,2018,9539
Western Africa,Production,2018,101
Africa,Import Quantity,2017,50635
Africa,Production,2017,26605
Eastern Africa,Import Quantity,2017,7087
Eastern Africa,Production,2017,5155
Middle Africa,Import Quantity,2017,2822
Middle Africa,Production,2017,15
Northern Africa,Import Quantity,2017,27754
Northern Africa,Production,2017,19717
Southern Africa,Import Quantity,2017,2308
Southern Africa,Production,2017,1609
Western Africa,Import Quantity,2017,10664
Western Africa,Production,2017,108
Africa,Import Quantity,2016,52492
Africa,Production,2016,23367
Eastern Africa,Import Quantity,2016,8070
Eastern Africa,Production,2016,5093
Middle Africa,Import Quantity,2016,2348
Middle Africa,Production,2016,16
Northern Africa,Import Quantity,2016,31743
Northern Africa,Production,2016,16158
Southern Africa,Import Quantity,2016,2105
Southern Africa,Production,2016,1983
Western Africa,Import Quantity,2016,8226
Western Africa,Production,2016,116
Africa,Import Quantity,2015,46808
Africa,Production,2015,29162
Eastern Africa,Import Quantity,2015,6883
Eastern Africa,Production,2015,5285
Middle Africa,Import Quantity,2015,2543
Middle Africa,Production,2015,14
Northern Africa,Import Quantity,2015,27365
Northern Africa,Production,2015,22235
Southern Africa,Import Quantity,2015,1654
Southern Africa,Production,2015,1516
Western Africa,Import Quantity,2015,8362
Western Africa,Production,2015,111
Africa,Import Quantity,2014,49645
Africa,Production,2014,25471
Eastern Africa,Import Quantity,2014,6585
Eastern Africa,Production,2014,4932
Middle Africa,Import Quantity,2014,2492
Middle Africa,Production,2014,15
Northern Africa,Import Quantity,2014,30115
Northern Africa,Production,2014,18542
Southern Africa,Import Quantity,2014,2391
Southern Africa,Production,2014,1837
Western Africa,Import Quantity,2014,8062
Western Africa,Production,2014,146
Africa,Import Quantity,2013,37740
Africa,Production,2013,28035
Eastern Africa,Import Quantity,2013,5275
Eastern Africa,Production,2013,5045
Middle Africa,Import Quantity,2013,1955
Middle Africa,Production,2013,37
Northern Africa,Import Quantity,2013,21654
Northern Africa,Production,2013,20934
Southern Africa,Import Quantity,2013,1888
Southern Africa,Production,2013,1899
Western Africa,Import Quantity,2013,6968
Western Africa,Production,2013,121
Africa,Import Quantity,2012,37240
Africa,Production,2012,24460
Eastern Africa,Import Quantity,2012,6077
Eastern Africa,Production,2012,4387
Middle Africa,Import Quantity,2012,1818
Middle Africa,Production,2012,28
Northern Africa,Import Quantity,2012,21138
Northern Africa,Production,2012,17953
Southern Africa,Import Quantity,2012,2060
Southern Africa,Production,2012,1941
