Area,Value,name_long
Afghanistan,2972.5,Afghanistan
Albania,288.5,Albania
Algeria,7611,Algeria
Angola,1144,Angola
Antigua and Barbuda,8.5,Antigua and Barbuda
Argentina,13.5,Argentina
Armenia,331.5,Armenia
Australia,536.5,Australia
Austria,1397.5,Austria
Azerbaijan,1384,Azerbaijan
Bahamas,16.5,Bahamas
Bangladesh,4721,Bangladesh
Barbados,35,Barbados
Belarus,549.5,Belarus
Belgium,5157.5,Belgium
Belize,28.5,Belize
Benin,221,Benin
Bolivia (Plurinational State of),514,Bolivia
Bosnia and Herzegovina,441,Bosnia and Herzegovina
Botswana,124,Botswana
Brazil,7265.5,Brazil
Bulgaria,152,Bulgaria
Burkina Faso,258,Burkina Faso
Burundi,106.5,Burundi
Cabo Verde,28.5,
Cambodia,63.5,Cambodia
Cameroon,812,Cameroon
Canada,1274.5,Canada
Central African Republic,16,Central African Republic
Chad,65,Chad
Chile,1340,Chile
China,1396.625,China
Colombia,1888.5,Colombia
Comoros,15,Comoros
Congo,223,Republic of the Congo
Costa Rica,332,Costa Rica
Côte d'Ivoire,723,Côte d'Ivoire
Croatia,348.5,Croatia
Cuba,733,Cuba
Cyprus,121,Cyprus
Czechia,490,Czech Republic
Democratic People's Republic of Korea,516.5,Dem. Rep. Korea
Democratic Republic of the Congo,410.5,Democratic Republic of the Congo
Denmark,626,Denmark
Djibouti,317,Djibouti
Dominica,2.5,Dominica
Dominican Republic,624,Dominican Republic
Ecuador,1202,Ecuador
Egypt,9910,Egypt
El Salvador,412,El Salvador
Estonia,77,Estonia
Eswatini,60.5,eSwatini
Ethiopia,1370.5,Ethiopia
Fiji,129,Fiji
Finland,256,Finland
France,2311.5,France
French Polynesia,31,French Polynesia
Gabon,123.5,Gabon
Gambia,84,The Gambia
Georgia,597.5,Georgia
Germany,5483,Germany
Ghana,784,Ghana
Greece,1238.5,Greece
Grenada,14,Grenada
Guatemala,787.5,Guatemala
Guinea,425,Guinea
Guinea-Bissau,30.5,Guinea-Bissau
Guyana,43,Guyana
Haiti,359,Haiti
Honduras,383.5,Honduras
Hungary,350,Hungary
Iceland,60.5,Iceland
India,74,India
Indonesia,10798.5,Indonesia
Iran (Islamic Republic of),167,Iran
Iraq,3340,Iraq
Ireland,1043.5,Ireland
Israel,1462.5,Israel
Italy,8021,Italy
Jamaica,227,Jamaica
Japan,5830.5,Japan
Jordan,1063.5,Jordan
Kazakhstan,328.5,Kazakhstan
Kenya,1922.5,Kenya
Kiribati,5.5,Kiribati
Kuwait,556.5,Kuwait
Kyrgyzstan,313.5,Kyrgyzstan
Lao People's Democratic Republic,12.5,Lao PDR
Latvia,655,Latvia
Lebanon,774.5,Lebanon
Lesotho,66.5,Lesotho
Liberia,54.5,Liberia
Libya,1213.5,Libya
Lithuania,246.5,Lithuania
Luxembourg,190,Luxembourg
Madagascar,378.5,Madagascar
Malawi,135.5,Malawi
Malaysia,1958,Malaysia
Maldives,39.5,Maldives
Mali,346,Mali
Malta,63,Malta
Mauritania,693.5,Mauritania
Mauritius,156.5,Mauritius
Mexico,5305.5,Mexico
Mongolia,151,Mongolia
Montenegro,103.5,Montenegro
Morocco,3951.5,Morocco
Mozambique,682,Mozambique
Myanmar,529.5,Myanmar
Namibia,140,Namibia
Nepal,152.5,Nepal
Netherlands,7197,Netherlands
New Caledonia,36,New Caledonia
New Zealand,611,New Zealand
Nicaragua,204,Nicaragua
Niger,103,Niger
Nigeria,4756,Nigeria
North Macedonia,195.5,Macedonia
Norway,597.5,Norway
Oman,812.5,Oman
Pakistan,6.5,Pakistan
Panama,203,Panama
Papua New Guinea,299.5,Papua New Guinea
Paraguay,31.5,Paraguay
Peru,2070.5,Peru
Philippines,7214.5,Philippines
Poland,1097.5,Poland
Portugal,1679,Portugal
Republic of Korea,4075,Republic of Korea
Republic of Moldova,69,Moldova
Romania,1164.5,Romania
Russian Federation,620.5,Russian Federation
Rwanda,224.5,Rwanda
Saint Kitts and Nevis,2,Saint Kitts and Nevis
Saint Lucia,16,Saint Lucia
Saint Vincent and the Grenadines,25.5,Saint Vincent and the Grenadines
Samoa,15,Samoa
Sao Tome and Principe,10.5,Sao Tome and Principe
Saudi Arabia,2472,Saudi Arabia
Senegal,726,Senegal
Serbia,57,Serbia
Seychelles,8.5,
Sierra Leone,92,Sierra Leone
Slovakia,322.5,Slovakia
Slovenia,414,Slovenia
Solomon Islands,24,Solomon Islands
South Africa,2057.5,South Africa
Spain,6426.5,Spain
Sri Lanka,1091,Sri Lanka
Sudan,2353.5,Sudan
Suriname,39.5,Suriname
Sweden,626,Sweden
Switzerland,660.5,Switzerland
Syrian Arab Republic,760.5,Syria
Tajikistan,1165.5,Tajikistan
Thailand,3139,Thailand
Timor-Leste,22,Timor-Leste
Togo,145,Togo
Trinidad and Tobago,143,Trinidad and Tobago
Tunisia,1849,Tunisia
Turkey,7962.5,Turkey
Turkmenistan,326.5,Turkmenistan
Uganda,570.5,Uganda
Ukraine,125,Ukraine
United Arab Emirates,1570,United Arab Emirates
United Kingdom of Great Britain and Northern Ireland,2971.5,United Kingdom
United Republic of Tanzania,511,Tanzania
United States of America,5397.5,United States
Uruguay,40,Uruguay
Uzbekistan,2939.5,Uzbekistan
Vanuatu,12.5,Vanuatu
Venezuela (Bolivarian Republic of),768,Venezuela
Viet Nam,3365.5,Vietnam
Yemen,3277,Yemen
Zambia,49,Zambia
Zimbabwe,222.5,Zimbabwe
