Date,WHEAT_US_HRW
4/1/1982,169.76
5/1/1982,167.55
6/1/1982,155.79
7/1/1982,151.75
8/1/1982,152.49
9/1/1982,152.85
10/1/1982,146.61
11/1/1982,155.06
12/1/1982,159.83
1/1/1983,164.98
2/1/1983,164.24
3/1/1983,166.08
4/1/1983,167.18
5/1/1983,160.2
6/1/1983,151.75
7/1/1983,147.34
8/1/1983,152.49
9/1/1983,156.53
10/1/1983,152.85
11/1/1983,151.75
12/1/1983,153.59
1/1/1984,152.85
2/1/1984,150.65
3/1/1984,153.96
4/1/1984,157.26
5/1/1984,153.96
6/1/1984,149.91
7/1/1984,146.97
8/1/1984,152.49
9/1/1984,155.06
10/1/1984,152.85
11/1/1984,152.49
12/1/1984,149.55
1/1/1985,149.18
2/1/1985,147.34
3/1/1985,145.14
4/1/1985,143.67
5/1/1985,136.32
6/1/1985,134.11
7/1/1985,128.6
8/1/1985,123.09
9/1/1985,125.3
10/1/1985,127.5
11/1/1985,132.64
12/1/1985,137.05
1/1/1986,132.28
2/1/1986,129.71
3/1/1986,134.48
4/1/1986,132.64
5/1/1986,119.42
6/1/1986,105.82
7/1/1986,101.78
8/1/1986,102.15
9/1/1986,103.62
10/1/1986,104.72
11/1/1986,105.09
12/1/1986,107.29
1/1/1987,109.13
2/1/1987,112.07
3/1/1987,115.38
4/1/1987,113.17
5/1/1987,119.05
6/1/1987,108.76
7/1/1987,104.72
8/1/1987,106.92
9/1/1987,112.07
10/1/1987,113.91
11/1/1987,115.01
12/1/1987,124.56
1/1/1988,128.6
2/1/1988,131.54
3/1/1988,124.93
4/1/1988,126.77
5/1/1988,128.97
6/1/1988,149.91
7/1/1988,149.55
8/1/1988,149.91
9/1/1988,159.47
10/1/1988,162.04
11/1/1988,163.88
12/1/1988,166.82
1/1/1989,173.8
2/1/1989,171.96
3/1/1989,178.21
4/1/1989,174.53
5/1/1989,176.37
6/1/1989,168.65
7/1/1989,166.82
8/1/1989,164.24
9/1/1989,163.51
10/1/1989,164.61
11/1/1989,163.51
12/1/1989,164.61
1/1/1990,167.92
2/1/1990,160.94
3/1/1990,156.53
4/1/1990,159.47
5/1/1990,149.18
6/1/1990,135.58
7/1/1990,124.93
8/1/1990,116.84
9/1/1990,114.27
10/1/1990,114.64
11/1/1990,112.8
12/1/1990,113.17
1/1/1991,111.33
2/1/1991,113.91
3/1/1991,119.42
4/1/1991,120.89
5/1/1991,121.99
6/1/1991,120.15
7/1/1991,118.31
8/1/1991,125.3
9/1/1991,135.22
10/1/1991,146.97
11/1/1991,149.55
